depth	min	max	median	mean
1.5	4431	4682	4560	4559
2.5	4440	4693	4575	4572
3.5	4450	4707	4589	4586
4.5	4461	4722	4601	4599
5.5	4470	4742	4613	4612
6.5	4484	4755	4629	4626
7.5	4498	4760	4645	4640
8.5	4512	4769	4663	4654
9.5	4524	4777	4682	4669
10.5	4535	4788	4699	4683
11.5	4551	4797	4715	4697
12.5	4570	4801	4733	4711
13.5	4585	4805	4751	4725
14.5	4596	4812	4767	4739
15.5	4607	4825	4778	4753
16.5	4637	4843	4794	4772
17.5	4689	4864	4811	4796
18.5	4731	4897	4825	4820
19.5	4764	4934	4839	4844
20.5	4784	4982	4855	4869
21.5	4820	5022	4889	4903
22.5	4862	5052	4943	4949
23.5	4881	5095	4998	4994
24.5	4896	5151	5049	5040
25.5	4905	5218	5100	5085
26.5	4950	5260	5145	5130
27.5	5031	5278	5186	5175
28.5	5105	5310	5225	5220
29.5	5166	5354	5264	5265
30.5	5217	5410	5300	5309
31.5	5259	5447	5335	5346
32.5	5303	5459	5367	5374
33.5	5333	5473	5400	5402
34.5	5350	5496	5431	5430
35.5	5361	5538	5459	5458
36.5	5386	5565	5483	5483
37.5	5423	5574	5505	5505
38.5	5455	5587	5529	5528
39.5	5475	5613	5551	5550
40.5	5490	5647	5574	5572
41.5	5517	5671	5593	5593
42.5	5550	5686	5611	5614
43.5	5573	5713	5630	5634
44.5	5587	5761	5650	5654
45.5	5595	5816	5670	5674
46.5	5621	5848	5695	5700
47.5	5653	5857	5727	5731
48.5	5668	5866	5761	5762
49.5	5680	5880	5798	5793
50.5	5691	5906	5835	5824
51.5	5716	5932	5864	5850
52.5	5752	5944	5887	5873
53.5	5779	5962	5906	5895
54.5	5797	5991	5923	5918
55.5	5813	6032	5941	5940
56.5	5845	6061	5960	5962
57.5	5893	6080	5982	5984
58.5	5930	6099	6003	6006
59.5	5948	6122	6024	6027
60.5	5956	6151	6045	6049
61.5	5972	6173	6065	6069
62.5	5990	6182	6084	6086
63.5	6000	6194	6104	6104
64.5	6010	6213	6124	6122
65.5	6017	6241	6143	6140
66.5	6047	6262	6164	6162
67.5	6097	6269	6190	6188
68.5	6139	6278	6216	6215
69.5	6169	6289	6245	6241
70.5	6191	6311	6273	6267
71.5	6210	6335	6292	6288
72.5	6229	6345	6305	6302
73.5	6251	6361	6317	6316
74.5	6272	6382	6331	6330
75.5	6285	6410	6345	6344
76.5	6296	6431	6360	6359
77.5	6309	6445	6377	6375
78.5	6317	6467	6392	6390
79.5	6323	6495	6406	6405
80.5	6328	6531	6419	6421
81.5	6340	6557	6433	6436
82.5	6353	6569	6449	6452
83.5	6362	6589	6465	6469
84.5	6370	6613	6482	6485
85.5	6376	6641	6497	6501
86.5	6390	6663	6512	6517
87.5	6408	6678	6529	6532
88.5	6421	6692	6546	6548
89.5	6432	6711	6563	6564
90.5	6442	6738	6578	6580
91.5	6455	6754	6594	6595
92.5	6477	6764	6608	6610
93.5	6493	6775	6623	6626
94.5	6505	6789	6640	6641
95.5	6516	6806	6655	6656
96.5	6535	6823	6670	6673
97.5	6558	6836	6687	6690
98.5	6572	6855	6704	6708
99.5	6585	6880	6721	6726
