"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23"
"2548" 4716.9 0.860124 7.50413 2.73071 13.2373 81.8455 14.2915 22.3257 29.8629 2.55764 44.4504 25.3611 15.0064 2.87441 50.6674 8.91599 44.1672 6.94155 10.9099 8.29471 10.0113 35.9731 0.0770332
"4192" 4494.14 16.8108 8.54236 27.7069 36.9219 43.1834 47.4754 31.6892 2.15072 15.4739 18.0775 36.6527 26.4272 13.7412 36.3203 2.01615 37.4904 13.1722 4.07371 14.2952 1.95627 17.912 0.010467
"1321" 4534.81 1.15556 15.318 9.69986 40.829 23.3705 69.5249 33.7873 13.4105 13.1175 42.1038 18.2357 30.511 4.49824 33.9573 15.0827 25.4956 12.5406 3.60388 18.3638 13.324 63.4928 0.0172976
"4274" 4450.58 36.5397 19.8866 18.191 14.7261 9.48269 72.202 30.8388 25.8687 15.9365 21.8999 35.2705 42.8878 7.23825 14.5304 25.4886 14.9198 4.51136 18.0269 16.3468 2.47435 35.7891 0.243247
"4014" 4568.56 21.1405 10.596 13.0599 11.4062 7.16163 109.127 10.7286 9.47406 15.607 43.7761 39.7505 4.54828 7.83365 39.4698 18.2973 27.0976 5.8693 19.2088 7.00645 8.10251 58.6371 0.0866257
"1943" 4457.81 12.7435 44.2538 15.3052 6.21756 59.8555 54.0372 21.937 10.0823 28.3028 19.9389 33.8531 22.1656 13.3224 22.1751 15.688 4.90971 11.4299 15.8416 4.81589 5.42664 20.2746 0.0288267
"4756" 4535.79 32.5319 1.53835 3.82046 23.4598 53.5101 39.4245 51.7191 5.46763 22.1372 39.2484 8.99474 20.6787 9.21 44.7855 12.041 6.08914 47.2309 2.71299 18.338 8.95618 36.1132 0.131173
"1499" 4455.39 28.5871 1.55242 7.08611 46.9013 55.5403 41.3449 6.43397 44.4562 5.17178 31.9236 61.5086 5.4148 16.5654 21.5864 3.47293 4.41403 34.7 2.40793 35.2697 8.30524 26.783 0.160881
"4165" 4611.1 6.02919 6.6919 3.02212 37.4608 79.3766 9.06482 40.6777 17.9936 35.3257 13.1093 15.8407 16.232 12.1681 55.5413 8.69051 5.77817 10.5561 9.79543 18.5316 22.311 63.5327 0.00502582
"3951" 4599.32 5.37187 28.0845 7.39129 3.33885 42.0709 46.5762 44.4805 19.8858 11.8387 39.167 12.2341 49.2002 25.2806 2.20941 13.4968 16.9147 11.2618 16.1208 50.5142 10.5771 28.3002 0.279582
